id,kbn_cd,kbn_name,prj_cd,prj_name,remark,flag_status,comp_pkid,reserve_first,reserve_second,reserve_third,make_user,make_time,modify_user,modify_time
1,M01,生产方式,M,自制,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
2,M01,生产方式,P,外购,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
3,M01,生产方式,O,外协,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
4,M02,物料属性,V,虚拟件,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
5,M02,物料属性,P,产品,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
6,M02,物料属性,S,半成品,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
7,M02,物料属性,Y,原材料,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
8,M03,八防,1,防裂损,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
9,M03,八防,2,防脱落,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
10,M03,八防,3,防燃轴,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
11,M03,八防,4,防断裂,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
12,M03,八防,5,防爆炸,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
13,M03,八防,6,防火灾,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
14,M03,八防,7,防分离,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
15,M03,八防,8,防放飏,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
16,M04,是否标识,0,否,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
17,M04,是否标识,1,是,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
18,M05,组织属性,0,集团,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
19,M05,组织属性,1,公司,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
20,M05,组织属性,2,车间,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
21,M05,组织属性,3,部门,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
22,M05,组织属性,4,班组,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
23,M06,检验结果区分,0,数字,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
24,M06,检验结果区分,1,下拉,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
25,M07,合格区分,Y,合格,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
26,M07,合格区分,N,不合格,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
27,M08,使用区分,0,未使用,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
28,M08,使用区分,1,已使用,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
29,M09,检验状态,1,合格,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
30,M09,检验状态,0,不合格,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
31,M09,检验状态,2,待检验,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
32,M09,检验状态,3,检验中,,0,,,,,admin,2019/1/8 09:51:25,admin,2019/1/8 09:51:25
33,M10,工时定额单位,m,月,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
34,M10,工时定额单位,d,日,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
35,M10,工时定额单位,h,时,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
36,M10,工时定额单位,s,秒,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
37,M11,质检类型,C,自检,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
38,M11,质检类型,M,互检,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
39,M11,质检类型,S,专捡,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
40,M12,工序特征,F,首,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
41,M12,工序特征,L,尾,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
42,M12,工序特征,M,中间,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
43,M13,附件业务来源区分,1,入厂,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
44,M13,附件业务来源区分,2,生产,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
45,M13,附件业务来源区分,3,工艺,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
46,M14,模板下载路径,1,excel模板,XXX/XXX/XXX,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
47,M15,检验类型,1,全捡,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
48,M15,检验类型,2,抽检,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
49,M15,检验类型,3,免检,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
50,M16,ABC分类,1,A,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
51,M16,ABC分类,2,B,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
52,M16,ABC分类,3,C,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
53,M17,检验状态,1,合格,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
54,M17,检验状态,0,不合格,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
55,M17,检验状态,2,待检验,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
56,M18,文件上传路径,0,http://192.168.86.165:8082,,0,,,,,admin,2019/1/8 09:51:24,admin,2019/1/8 09:51:24
