id,app_id,store_id,menu_id,right_id,stop_flag,del_flag,ins_progarm_cd,ins_oper_cd,ins_date_time,upd_progarm_cd,upd_oper_cd,upd_date_time,del_progarm_cd,del_oper_cd,del_date_time,trigger_date_time
1,0,0,1,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
2,0,0,2,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
3,0,0,3,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
4,0,0,4,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
5,0,0,5,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
6,0,0,6,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
7,0,0,7,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
8,0,0,8,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
9,0,0,9,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
10,0,0,10,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
11,0,0,11,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
12,0,0,12,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
13,0,0,13,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
14,0,0,14,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
15,0,0,15,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
16,0,0,16,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
17,0,0,17,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
18,0,0,18,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
19,0,0,19,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
20,0,0,20,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
21,0,0,21,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
22,0,0,22,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
23,0,0,23,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
24,0,0,24,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
25,0,0,25,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
26,0,0,26,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
27,0,0,27,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
28,0,0,28,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
29,0,0,29,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
30,0,0,30,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
31,0,0,31,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
32,0,0,32,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
33,0,0,33,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
34,0,0,34,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
35,0,0,35,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
36,0,0,36,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
37,0,0,37,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
38,0,0,38,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
39,0,0,39,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
40,0,0,40,1,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
41,0,0,1,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
42,0,0,2,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
43,0,0,3,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
44,0,0,4,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
45,0,0,5,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
46,0,0,6,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
47,0,0,7,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
48,0,0,8,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
49,0,0,9,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
50,0,0,10,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
51,0,0,11,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
52,0,0,12,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
53,0,0,13,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
54,0,0,14,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
55,0,0,15,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
56,0,0,16,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
57,0,0,17,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
58,0,0,18,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
59,0,0,19,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
60,0,0,20,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
61,0,0,21,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
62,0,0,22,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
63,0,0,23,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
64,0,0,24,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
65,0,0,25,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
66,0,0,26,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
67,0,0,27,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
68,0,0,28,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
69,0,0,29,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
70,0,0,30,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
71,0,0,31,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
72,0,0,32,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
73,0,0,33,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
74,0,0,34,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
75,0,0,35,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
76,0,0,36,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
77,0,0,37,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
78,0,0,38,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
79,0,0,39,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
80,0,0,40,2,0,0,RbacRightController,1,2019/7/30 08:20:00,,,2019/7/30 08:20:00,,,2019/7/30 08:20:00,2019/7/30 08:20:00
